,Unnamed: 0,object_id,MergedDegree
151,151,p:3730,"0,0,0,0,1"
152,152,p:3731,"1,0,0,0,0"
153,153,p:3731,"0,1,0,0,0"
154,154,p:3731,"0,1,0,0,0"
155,155,p:3731,"0,0,0,0,1"
156,156,p:5606,"1,0,0,0,0"
157,157,p:5606,"0,1,0,0,0"
158,158,p:7302,"1,0,0,0,0"
159,159,p:7303,"0,1,0,0,0"
160,160,p:7304,"1,0,0,0,0"
161,161,p:7305,"1,0,0,0,0"
162,162,p:7306,"1,0,0,0,0"
163,163,p:7312,"1,0,0,0,0"
164,164,p:7312,"0,1,0,0,0"
165,165,p:6842,"1,0,0,0,0"
166,166,p:102,"0,1,0,0,0"
167,167,p:102,"0,0,1,0,0"
168,168,p:7376,"1,0,0,0,0"
169,169,p:7377,"0,1,0,0,0"
170,170,p:7377,"1,0,0,0,0"
171,171,p:7368,"1,0,0,0,0"
172,172,p:7378,"1,0,0,0,0"
173,173,p:7378,"0,1,0,0,0"
174,174,p:7379,"1,0,0,0,0"
175,175,p:7380,"1,0,0,0,0"
176,176,p:7381,"1,0,0,0,0"
177,177,p:7381,"0,1,0,0,0"
178,178,p:7382,"1,0,0,0,0"
179,179,p:7382,"0,1,0,0,0"
180,180,p:7382,"0,0,1,0,0"
181,181,p:7383,"1,0,0,0,0"
182,182,p:7383,"0,1,0,0,0"
183,183,p:7384,"1,0,0,0,0"
184,184,p:7188,"0,1,0,0,0"
185,185,p:7187,"0,1,0,0,0"
186,186,p:7392,"1,0,0,0,0"
187,187,p:7392,"1,0,0,0,0"
188,188,p:7405,"1,0,0,0,0"
189,189,p:7405,"0,0,1,0,0"
190,190,p:7405,"0,0,1,0,0"
191,191,p:7405,"0,0,1,0,0"
192,192,p:7409,"1,0,0,0,0"
193,193,p:7428,"1,0,0,0,0"
194,194,p:7426,"1,0,0,0,0"
195,195,p:7429,"1,0,0,0,0"
196,196,p:7429,"0,1,0,0,0"
197,197,p:7430,"1,0,0,0,0"
198,198,p:7396,"1,0,0,0,0"
199,199,p:7396,"0,1,0,0,0"
200,200,p:7443,"1,0,0,0,0"
201,201,p:7443,"0,1,0,0,0"
202,202,p:7424,"1,0,0,0,0"
203,203,p:7424,"0,1,0,0,0"
204,204,p:7444,"0,1,0,0,0"
205,205,p:7454,"1,0,0,0,0"
206,206,p:6349,"1,0,0,0,0"
207,207,p:6349,"0,1,0,0,0"
208,208,p:438,"1,0,0,0,0"
209,209,p:438,"1,0,0,0,0"
210,210,p:6350,"1,0,0,0,0"
211,211,p:6350,"0,0,0,0,1"
212,212,p:6350,"0,1,0,0,0"
213,213,p:6351,"1,0,0,0,0"
214,214,p:6351,"0,1,0,0,0"
215,215,p:6353,"0,1,0,0,0"
216,216,p:633,"1,0,0,0,0"
217,217,p:633,"0,1,0,0,0"
218,218,p:6354,"1,0,0,0,0"
219,219,p:6354,"0,0,0,0,1"
220,220,p:448,"1,0,0,0,0"
221,221,p:7516,"1,0,0,0,0"
222,222,p:7425,"1,0,0,0,0"
223,223,p:7425,"0,1,0,0,0"
224,224,p:7519,"0,1,0,0,0"
225,225,p:7519,"1,0,0,0,0"
226,226,p:7520,"0,1,0,0,0"
227,227,p:7520,"1,0,0,0,0"
228,228,p:5345,"1,0,0,0,0"
229,229,p:6950,"0,0,1,0,0"
230,230,p:5730,"1,0,0,0,0"
231,231,p:5730,"0,1,0,0,0"
232,232,p:6970,"0,0,0,0,1"
233,233,p:4855,"1,0,0,0,0"
234,234,p:4855,"0,1,0,0,0"
235,235,p:2442,"1,0,0,0,0"
236,236,p:6880,"1,0,0,0,0"
237,237,p:6880,"0,1,0,0,0"
238,238,p:7589,"0,0,1,0,0"
239,239,p:432,"1,0,0,0,0"
240,240,p:432,"0,1,0,0,0"
241,241,p:6712,"1,0,0,0,0"
242,242,p:6712,"0,1,0,0,0"
243,243,p:7600,"1,0,0,0,0"
244,244,p:7600,"0,1,0,0,0"
245,245,p:7601,"1,0,0,0,0"
246,246,p:7601,"0,1,0,0,0"
247,247,p:7602,"1,0,0,0,0"
248,248,p:7602,"0,1,0,0,0"
249,249,p:7602,"0,1,0,0,0"
250,250,p:7553,"1,0,0,0,0"
251,251,p:7553,"0,1,0,0,0"
252,252,p:7603,"1,0,0,0,0"
253,253,p:7603,"0,1,0,0,0"
254,254,p:7603,"0,0,0,0,1"
255,255,p:7604,"1,0,0,0,0"
256,256,p:7604,"0,1,0,0,0"
257,257,p:5902,"1,0,0,0,0"
258,258,p:7554,"1,0,0,0,0"
259,259,p:7554,"0,1,0,0,0"
260,260,p:6849,"1,0,0,0,0"
261,261,p:7651,"1,0,0,0,0"
262,262,p:2714,"1,0,0,0,0"
263,263,p:2714,"0,1,0,0,0"
264,264,p:6028,"1,0,0,0,0"
265,265,p:6028,"0,1,0,0,0"
266,266,p:2715,"1,0,0,0,0"
267,267,p:2715,"0,1,0,0,0"
268,268,p:640,"0,1,0,0,0"
269,269,p:2716,"1,0,0,0,0"
270,270,p:7261,"0,0,0,0,1"
271,271,p:7724,"1,0,0,0,0"
272,272,p:7724,"0,1,0,0,0"
273,273,p:7739,"1,0,0,0,0"
274,274,p:7738,"1,0,0,0,0"
275,275,p:7737,"1,0,0,0,0"
276,276,p:7736,"1,0,0,0,0"
277,277,p:7727,"1,0,0,0,0"
278,278,p:7727,"0,0,0,0,1"
279,279,p:7729,"1,0,0,0,0"
280,280,p:7726,"1,0,0,0,0"
281,281,p:7726,"0,1,0,0,0"
282,282,p:7730,"1,0,0,0,0"
283,283,p:7731,"0,0,1,0,0"
284,284,p:7732,"1,0,0,0,0"
285,285,p:7732,"0,1,0,0,0"
286,286,p:7423,"1,0,0,0,0"
287,287,p:7423,"0,1,0,0,0"
288,288,p:7733,"1,0,0,0,0"
289,289,p:7734,"1,0,0,0,0"
290,290,p:7725,"1,0,0,0,0"
291,291,p:7725,"0,1,0,0,0"
292,292,p:7735,"1,0,0,0,0"
293,293,p:7740,"1,0,0,0,0"
294,294,p:3274,"0,1,0,0,0"
295,295,p:3274,"0,1,0,0,0"
296,296,p:3274,"0,0,1,0,0"
297,297,p:4174,"1,0,0,0,0"
298,298,p:4174,"0,1,0,0,0"
299,299,p:4175,"1,0,0,0,0"
300,300,p:4175,"0,1,0,0,0"
301,301,p:4176,"0,0,0,0,1"
302,302,p:4178,"1,0,0,0,0"
303,303,p:4178,"0,1,0,0,0"
304,304,p:7804,"1,0,0,0,0"
305,305,p:7804,"0,1,0,0,0"
306,306,p:7804,"0,0,0,0,1"
307,307,p:7805,"1,0,0,0,0"
308,308,p:7805,"0,1,0,0,0"
309,309,p:7806,"1,0,0,0,0"
310,310,p:7808,"1,0,0,0,0"
311,311,p:7808,"0,1,0,0,0"
312,312,p:743,"1,0,0,0,0"
313,313,p:888,"0,1,0,0,0"
314,314,p:1709,"1,0,0,0,0"
315,315,p:1709,"0,0,0,0,1"
316,316,p:566,"1,0,0,0,0"
317,317,p:566,"0,1,0,0,0"
318,318,p:169,"1,0,0,0,0"
319,319,p:2976,"0,1,0,0,0"
320,320,p:2976,"0,1,0,0,0"
321,321,p:518,"1,0,0,0,0"
322,322,p:518,"0,1,0,0,0"
323,323,p:6348,"0,1,0,0,0"
324,324,p:6348,"1,0,0,0,0"
325,325,p:662,"1,0,0,0,0"
326,326,p:6394,"1,0,0,0,0"
327,327,p:706,"1,0,0,0,0"
328,328,p:2248,"1,0,0,0,0"
329,329,p:2248,"0,0,0,0,1"
330,330,p:7914,"0,1,0,0,0"
331,331,p:7918,"0,1,0,0,0"
332,332,p:7924,"0,0,0,1,0"
333,333,p:7935,"1,0,0,0,0"
334,334,p:7938,"1,0,0,0,0"
335,335,p:7938,"1,0,0,0,0"
336,336,p:2360,"0,1,0,0,0"
337,337,p:6323,"1,0,0,0,0"
338,338,p:6323,"0,0,0,0,1"
339,339,p:1631,"1,0,0,0,0"
340,340,p:1631,"0,0,0,0,1"
341,341,p:7966,"0,1,0,0,0"
342,342,p:7752,"1,0,0,0,0"
343,343,p:7752,"1,0,0,0,0"
344,344,p:7752,"0,1,0,0,0"
345,345,p:7809,"1,0,0,0,0"
346,346,p:8011,"0,0,0,0,1"
347,347,p:8011,"0,1,0,0,0"
348,348,p:8011,"1,0,0,0,0"
349,349,p:8059,"1,0,0,0,0"
350,350,p:1268,"1,0,0,0,0"
351,351,p:7182,"1,0,0,0,0"
352,352,p:2294,"1,0,0,0,0"
353,353,p:8101,"1,0,0,0,0"
354,354,p:7433,"1,0,0,0,0"
355,355,p:8136,"1,0,0,0,0"
356,356,p:1530,"0,1,0,0,0"
357,357,p:1530,"1,0,0,0,0"
358,358,p:8156,"0,1,0,0,0"
359,359,p:449,"1,0,0,0,0"
360,360,p:8204,"0,1,0,0,0"
361,361,p:8232,"0,1,0,0,0"
362,362,p:8247,"1,0,0,0,0"
363,363,p:8247,"0,1,0,0,0"
364,364,p:8247,"0,0,0,0,1"
365,365,p:8255,"1,0,0,0,0"
366,366,p:8255,"0,1,0,0,0"
